node_id,sub_document,node_type,label,title,pages,reading_order,text_raw,correct_yn,corrected_text,notes
n_0025,main_agreement,article,Pasal 3,"HARGA KONTRAK, SUMBER PEMBIAYAAN DAN PEMBAYARAN",3,25,(1) Harga Kontrak termasuk Pajak Pertambahan Nilai (PPN) yang diperoleh berdasarkan total harga penawaran terkoreksi sebagaimana tercantum dalam Daftar Kuantitas dan Harga adalah sebesar Rp. ……….. (……….. ditulis dalam huruf ……..) dengan kode akun kegiatan ………. ; (2) Kontrak ini dibiayai dari APBD 2023; (3) Pembayaran untuk kontrak ini dilakukan ke Bank ..... rekening nomor : ............. atas nama Penyedia : ............... .,Y,,Clauses (1)-(3) correctly assembled under the article. Space before ';' after 'kegiatan ……….' is a minor normalization artifact.
n_0018,main_agreement,article,Pasal 2,RUANG LINGKUP PEKERJAAN UTAMA,3,18,Ruang lingkup pekerjaan utama terdiri dari:,Y,,FIXED. Article title now carried in the `title` column instead of being dropped or glued to the body.
n_0030,main_agreement,list_item,d,,4,30,Syarat-Syarat Khusus Kontrak;,Y,,
n_0041,main_agreement,list_item,3,,5,41,Arsip,Y,,FIXED. Correctly re-typed from 'clause' to 'list_item'; the body sentence is back in text_raw and `title` is empty. This closes the content-loss regression from the previous sample. Note sub_document is still 'main_agreement'; p5 is the SPPBJ.
n_0045,main_agreement,list_item,2,,6,45,Tanggal mulai kerja: __________;,Y,,"FIXED. Correctly re-typed from 'clause' to 'list_item'; the body sentence is back in text_raw and `title` is empty. This closes the content-loss regression from the previous sample. Note sub_document is still 'main_agreement'; p6 is the SPMK, and this node carries the tanggal mulai kerja placeholder."
n_0055,general_terms,subclause,1.4,,7,55,"Direksi Lapangan adalah tenaga/tim pendukung yang dibentuk/ditetapkan oleh Pejabat yang berwenang untuk menandatangani Kontrak, terdiri dari 1 (satu) orang atau lebih, untuk mengelola administrasi Kontrak dan mengendalikan pelaksanaan pekerjaan.",Y,,
n_0081,general_terms,subclause,1.30,,10,81,Sanksi Daftar Hitam adalah sanksi yang diberikan kepada Peserta pemilihan/Penyedia berupa larangan mengikuti Pengadaan Barang/Jasa di seluruh Kementerian/Lembaga dalam jangka waktu tertentu.,Y,,
n_0079,general_terms,subclause,1.28,,10,79,Penyedia adalah Pelaku Usaha yang menyediakan barang/jasa berdasarkan Kontrak.,Y,,
n_0076,general_terms,subclause,1.25,,10,76,Pengawas Pekerjaan adalah tim pendukung/badan usaha yang ditunjuk/ditetapkan oleh Pejabat yang berwenang untuk menandatangani Kontrak yang bertugas untuk mengawasi pelaksanaan pekerjaan.,Y,,
n_0093,general_terms,subclause,3.3,,11,93,Hukum yang digunakan adalah hukum yang berlaku di Indonesia.,Y,,
n_0095,general_terms,subclause,4.1,,11,95,"Semua korespondensi dapat berbentuk surat, e- mail dan/atau faksimili dengan alamat tujuan para pihak yang tercantum dalam SSKK.",Y,,'e- mail' spacing is a source line-break artifact; a hyphenation-repair pass should close it.
n_0120,general_terms,clause,10,Pengalihan Seluruh Kontrak,13,120,,Y,,"FIXED. Full title in `title`, text_raw correctly empty for a title-only clause node."
n_0129,general_terms,clause,15,Tugas dan Wewenang Pengawas Pekerjaan,14,129,,Y,,FIXED. Full title captured; text_raw correctly empty.
n_0130,general_terms,subclause,15.1,,14,130,"Semua gambar dan rencana kerja yang digunakan dalam pelaksanaan pekerjaan sesuai Kontrak, untuk pekerjaan permanen maupun pekerjaan sementara mendapatkan persetujuan dari Pengawas Pekerjaan sesuai pelimpahan wewenang dari Pejabat yang berwenang untuk menandatangani Kontrak.",Y,,Correctly de-interleaved from the clause-15 title gutter.
n_0122,general_terms,subclause,10.2,,14,122,Jika ketentuan di atas dilanggar maka Kontrak diputuskan sepihak oleh Pejabat yang berwenang untuk menandatangani Kontrak dan Penyedia dikenakan sanksi sebagaimana diatur dalam pasal 44.2.,Y,,
n_0138,general_terms,list_item,6,,15,138,bertanggungjawab terhadap hasil pelaksanaan Pekerjaan Konstruksi sesuai tugas dan tanggungjawabnya;,Y,,
n_0144,general_terms,subclause,17.1,,16,144,"Penyedia berkewajiban untuk menjamin akses Pejabat yang berwenang untuk menandatangani Kontrak, Wakil Sah Pejabat yang berwenang untuk menandatangani Kontrak, Pengawas Pekerjaan dan/atau pihak yang mendapat izin dari Pejabat yang berwenang untuk menandatangani Kontrak ke lokasi kerja dan lokasi lainnya dimana pekerjaan ini sedang atau akan dilaksanakan.",Y,,
n_0143,general_terms,clause,17,Akses ke Lokasi Kerja,16,143,,Y,,text_raw correctly emptied; title carries the heading.
n_0148,general_terms,list_item,c,,16,148,"biaya karena ketidak layakan atau tidak tersedianya jalur akses untuk digunakan oleh Penyedia, harus ditanggung Penyedia; dan",Y,,'ketidak layakan' is in the source - keep verbatim.
n_0153,general_terms,clause,18,Masa Kontrak,17,153,Kontrak ini berlaku efektif sejak penandatangananan Surat Perjanjian oleh Para Pihak sampai dengan Tanggal Penyerahan Akhir Pekerjaan dan hak dan kewajiban Para Pihak yang terdapat dalam Kontrak sudah terpenuhi.,Y,,FIXED. Title no longer duplicated at the head of the body. Source typo 'penandatangananan' is in the PDF - keep verbatim.
n_0152,general_terms,section,B,"PELAKSANAAN, PENYELESAIAN, ADENDUM DAN PEMUTUSAN KONTRAK",17,152,,Y,,FIXED. Section B heading now complete in `title` and no longer split across nodes or truncated in text_raw.
n_0176,general_terms,list_item,b,,18,176,Rencana Pemeriksaan dan Pengujian/Inspection and Test Plan (ITP);,Y,,
n_0208,general_terms,list_item,a,,20,208,"mendatangkan peralatan-peralatan terkait yang diperlukan dalam pelaksanaan pekerjaan, termasuk instalasi alat;",Y,,
n_0212,general_terms,subclause,24.4,,21,212,Mobilisasi peralatan dan Tenaga Kerja Konstruksi dapat dilakukan secara bertahap sesuai dengan kebutuhan.,Y,,
n_0215,general_terms,subclause,25.2,,21,215,"Hasil pemeriksaan bersama dituangkan dalam Berita Acara. Apabila dalam pengukuran/pemeriksaan bersama mengakibatkan perubahan isi Kontrak, maka harus dituangkan dalam adendum Kontrak.",Y,,
n_0224,general_terms,clause,27,Masa Pelaksanaan,21,224,,Y,,text_raw correctly emptied.
n_0216,general_terms,subclause,25.3,,21,216,Tindak lanjut hasil pemeriksaan bersama Tenaga Kerja Konstruksi dan/atau Peralatan Utama mengikuti ketentuan pasal 67 dan 68.,Y,,
n_0245,general_terms,list_item,a,,24,245,"Pada saat Kontrak dinyatakan kritis, Pejabat yang berwenang untuk menandatangani Kontrak berdasarkan laporan dari Pengawas Pekerjaan memberikan peringatan secara tertulis kepada Penyedia dan selanjutnya Pejabat yang berwenang untuk menandatangani Kontrak menyelenggarakan Rapat Pembuktian (SCM) Tahap I.",Y,,
n_0252,general_terms,subclause,32.2,,25,252,Hasil penilaian menjadi dasar bagi Pejabat Penandatangan Kontrak untuk:,Y,,
n_0272,general_terms,subclause,33.2,,26,272,Pejabat yang berwenang untuk menandatangani Kontrak memerintahkan Pengawas Pekerjaan untuk melakukan pemeriksaan dan/atau pengujian terhadap hasil pekerjaan.,Y,,
n_0269,general_terms,section,B.3,Penyelesaian Kontrak,26,269,,Y,,text_raw correctly emptied.
n_0263,general_terms,list_item,3,,26,263,Penyedia menyatakan tidak sanggup menyelesaikan pekerjaan.,Y,,
n_0274,general_terms,subclause,33.4,,27,274,"Hasil pemeriksaan dan/atau pengujian dari Pengawas Pekerjaan disampaikan kepada Pejabat yang berwenang untuk menandatangani Kontrak, apabila dalam pemeriksaan hasil pekerjaan tidak sesuai dengan ketentuan yang tercantum dalam Kontrak dan/atau cacat hasil pekerjaan, Pejabat yang berwenang untuk menandatangani Kontrak memerintahkan Penyedia untuk memperbaiki dan/atau melengkapi kekurangan pekerjaan.",Y,,
n_0287,general_terms,list_item,b,,28,287,bagian pekerjaan yang fungsinya tidak terkait satu sama lain dalam pencapaian kinerja pekerjaan.,Y,,
n_0282,general_terms,subclause,33.12,,28,282,Pejabat yang berwenang untuk menandatangani Kontrak wajib melakukan pembayaran sisa Harga Kontrak yang belum dibayar atau mengembalikan Jaminan Pemeliharaan.,Y,,
n_0299,general_terms,list_item,1,,29,299,perubahan pekerjaan;,Y,,
n_0319,general_terms,clause,38,Perubahan Harga,30,319,,Y,,text_raw correctly emptied.
n_0322,general_terms,list_item,2,,30,322,penyesuaian harga; dan/atau,Y,,
n_0333,general_terms,list_item,e,,31,333,penyesuaian harga satuan diberlakukan sesuai dengan jadwal pelaksanaan yang tercantum dalam Kontrak awal/adendum Kontrak;,Y,,
n_0349,general_terms,subclause,39.3,,32,349,Masa Pelaksanaan dapat diperpanjang paling kurang sama dengan waktu terhentinya Kontrak akibat Keadaan Kahar atau waktu yang diperlukan untuk menyelesaikan pekerjaan akibat dari ketentuan pada pasal 39.2 huruf a atau b.,Y,,
n_0345,general_terms,subclause,39.2,,32,345,Perpanjangan Masa Pelaksanaan dapat diberikan oleh Pejabat yang berwenang untuk menandatangani Kontrak atas pertimbangan yang layak dan wajar untuk hal-hal sebagai berikut:,Y,,
n_0397,general_terms,clause,42,Penghentian Kontrak,36,397,Penghentian Kontrak dapat dilakukan karena terjadi Keadaan Kahar sebagaimana dimaksud pada pasal 41.,Y,,FIXED. Title no longer duplicated at the head of the body.
n_0393,general_terms,subclause,41.12,,36,393,"Dalam hal pelaksanaan Kontrak dilanjutkan, para pihak dapat melakukan perubahan Kontrak. Masa Pelaksanaan dapat diperpanjang sekurang-kurangnya sama dengan jangka waktu terhentinya Kontrak akibat Keadan Kahar. Perpanjangan Masa Pelaksanaan dapat melewati Tahun Anggaran.",Y,,Source typo 'Keadan Kahar' (missing 'a') is in the PDF - keep verbatim.
n_0401,general_terms,subclause,43.3,,37,401,"Surat peringatan diberikan 3 (tiga) kali kecuali pelanggaran tersebut berdampak terhadap kerugian atas konstruksi, jiwa manusia, keselamatan publik, dan lingkungan dan ditindaklanjuti dengan surat pernyataan wanprestasi dari pihak yang dirugikan",Y,,Missing trailing period is in the source.
n_0416,general_terms,list_item,k,,38,416,Penyedia mengalihkan seluruh Kontrak bukan dikarenakan pergantian nama Penyedia.,Y,,
n_0419,general_terms,list_item,2,,38,419,sisa uang muka harus dilunasi oleh Penyedia atau Jaminan Uang Muka terlebih dahulu dicairkan (apabila diberikan);,Y,,
n_0422,general_terms,subclause,44.3,,38,422,"Dalam hal pemutusan Kontrak dilakukan pada Masa Pemeliharaan karena kesalahan Penyedia, maka:",Y,,
